Factorial,DataType,Before,After,Size,Duration
10000,Array,1678486983,1678486983,80008,0.002680063
10000,List,1678486983,1678486983,4080000,0.078680038
10001,Array,1678486983,1678486983,80016,0.001540184
10001,List,1678486983,1678486983,4080408,0.149929762
10002,Array,1678486983,1678486983,80024,0.001590014
10002,List,1678486983,1678486983,4080816,0.151200056
10003,Array,1678486983,1678486983,80032,0.001549959
10003,List,1678486983,1678486983,4081224,0.037299871
10004,Array,1678486983,1678486983,80040,0.001540184
10004,List,1678486983,1678486983,4081632,0.033410072
10005,Array,1678486983,1678486983,80048,0.001630068
10005,List,1678486983,1678486983,4082040,0.037919998
10006,Array,1678486983,1678486983,80056,0.001430035
10006,List,1678486983,1678486983,4082448,0.037490129
10007,Array,1678486983,1678486983,80064,0.002929926
10007,List,1678486983,1678486983,4082856,0.038199902
10008,Array,1678486983,1678486983,80072,0.001399994
10008,List,1678486983,1678486983,4083264,0.036989927
10009,Array,1678486983,1678486983,80080,0.00150013
10009,List,1678486983,1678486983,4083672,0.035180092
10010,Array,1678486983,1678486983,80088,0.001379967
10010,List,1678486983,1678486983,4084080,0.040159941
10011,Array,1678486983,1678486983,80096,0.00158
10011,List,1678486983,1678486984,4084488,0.036060095
10012,Array,1678486984,1678486984,80104,0.001540184
10012,List,1678486984,1678486984,4084896,0.036999941
10013,Array,1678486984,1678486984,80112,0.001689911
10013,List,1678486984,1678486984,4085304,0.038810015
10014,Array,1678486984,1678486984,80120,0.001519918
10014,List,1678486984,1678486984,4085712,0.036109924
10015,Array,1678486984,1678486984,80128,0.001369953
10015,List,1678486984,1678486984,4086120,0.035929918
10016,Array,1678486984,1678486984,80136,0.001520157
10016,List,1678486984,1678486984,4086528,0.036419868
10017,Array,1678486984,1678486984,80144,0.00138998
10017,List,1678486984,1678486984,4086936,0.035589933
10018,Array,1678486984,1678486984,80152,0.001569986
10018,List,1678486984,1678486984,4087344,0.039200068
10019,Array,1678486984,1678486984,80160,0.002409935
10019,List,1678486984,1678486984,4087752,0.042289972
10020,Array,1678486984,1678486984,80168,0.001619816
10020,List,1678486984,1678486984,4088160,0.035350084
10021,Array,1678486984,1678486984,80176,0.001450062
10021,List,1678486984,1678486984,4088568,0.034369946
10022,Array,1678486984,1678486984,80184,0.001440048
